dimension	locus	mutational effect
0	0	-0.0166367
0	1	-0.0425198
0	2	0.0416114
0	3	0.0398328
0	4	0.00740266
0	5	0.0273178
0	6	-0.0636186
0	7	0.00661039
8	0	0.0185504
8	1	0.0220451
8	2	-0.0277229
8	3	0.00359321
8	4	0.0287748
8	5	0.0365522
8	6	-0.0147014
8	7	-0.0670914
16	0	-0.0245775
16	1	0.0251275
16	2	-0.0188711
16	3	0.0272716
16	4	-0.0059356
16	5	-0.0383109
16	6	-0.0127543
16	7	0.0480503
24	0	0.0097013
24	1	0.0171901
24	2	-0.0169831
24	3	-0.0127257
24	4	0.0348206
24	5	-0.00788068
24	6	-0.0168865
24	7	-0.00723594
32	0	-0.00375227
32	1	-0.00288511
32	2	0.00804643
32	3	0.0415444
32	4	-0.0401701
32	5	-0.0136631
32	6	-0.0419957
32	7	0.0528754
2000 generations ont pris 496 secondes
dimension	locus	mutational effect
0	0	-0.0334278
0	1	0.0205732
0	2	0.0015558
0	3	-0.0179074
0	4	0.0210045
0	5	-0.00653898
0	6	-0.0462337
0	7	0.0609743
8	0	-0.0102187
8	1	-0.00865705
8	2	0.0153167
8	3	-0.031609
8	4	0.0390003
8	5	-0.0184031
8	6	0.0171591
8	7	-0.00258822
16	0	-0.0280502
16	1	-0.0441095
16	2	0.00121447
16	3	0.0185768
16	4	0.0117113
16	5	-0.00829634
16	6	0.0158768
16	7	0.0330767
24	0	-0.00910253
24	1	-0.0373887
24	2	-0.0480675
24	3	0.0160397
24	4	0.0736163
24	5	0.0280104
24	6	-0.0412561
24	7	0.0181485
32	0	0.0134439
32	1	0.0136032
32	2	-0.028497
32	3	0.00714483
32	4	0.0265438
32	5	0.008516
32	6	-0.0258565
32	7	-0.0148982
2000 generations ont pris 496 secondes
dimension	locus	mutational effect
0	0	0.0435524
0	1	0.00810151
0	2	-0.0268575
0	3	0.0347974
0	4	0.018066
0	5	0.00351122
0	6	-0.0740774
0	7	-0.00709359
8	0	0.0248595
8	1	-0.00239836
8	2	0.0245596
8	3	0.000663192
8	4	-0.0386171
8	5	0.0082191
8	6	0.024655
8	7	-0.0419409
16	0	0.0532219
16	1	-0.0290941
16	2	-0.0116392
16	3	-0.0208637
16	4	0.0362308
16	5	-0.0165755
16	6	0.0199913
16	7	-0.0312716
24	0	-0.0400762
24	1	0.0364922
24	2	0.0390254
24	3	-0.000480403
24	4	0.0276523
24	5	-0.0167245
24	6	-0.00810704
24	7	-0.0377818
32	0	0.0274066
32	1	-0.0174636
32	2	0.0496061
32	3	0.014176
32	4	0.028181
32	5	-0.0144374
32	6	-0.0232134
32	7	-0.0642553
2000 generations ont pris 690 secondes
