dimension	locus	mutational effect
0	0	-0.0261175
0	1	-0.00286669
0	2	-0.0218604
0	3	0.00411977
0	4	0.00663951
0	5	0.00181556
0	6	0.0368445
0	7	0.00142528
8	0	0.0187142
8	1	-0.00960926
8	2	-0.0138346
8	3	-0.0371998
8	4	0.0342199
8	5	0.0184305
8	6	0.00698668
8	7	-0.0177077
16	0	-0.0274714
16	1	0.0567468
16	2	-0.00241408
16	3	0.0750731
16	4	-0.0782991
16	5	0.00507971
16	6	0.0387946
16	7	-0.0675096
24	0	-0.00586978
24	1	-0.0114609
24	2	0.0331486
24	3	0.00235525
24	4	0.0318725
24	5	-0.0341731
24	6	0.0121519
24	7	-0.0280245
32	0	0.00896915
32	1	0.0242011
32	2	-0.00955637
32	3	0.00523781
32	4	0.0373468
32	5	-0.0695343
32	6	-0.015554
32	7	0.0188898
2000 generations ont pris 500 secondes
dimension	locus	mutational effect
0	0	-0.0202851
0	1	0.0517661
0	2	-0.0456095
0	3	-0.0308915
0	4	0.00605614
0	5	0.0393711
0	6	-0.0103988
0	7	0.00999157
8	0	-0.0390611
8	1	0.0172279
8	2	0.01259
8	3	0.00880154
8	4	0.0244386
8	5	-0.0188437
8	6	0.0455554
8	7	-0.0507086
16	0	-0.0204061
16	1	0.020514
16	2	-0.0468608
16	3	0.0033088
16	4	0.0514406
16	5	0.0159889
16	6	-0.0157745
16	7	-0.00821095
24	0	-0.00580132
24	1	-0.0379626
24	2	0.0362517
24	3	0.00350648
24	4	0.00235786
24	5	0.00155881
24	6	-0.0106438
24	7	0.0107328
32	0	0.0419184
32	1	-0.024565
32	2	-0.000111568
32	3	0.0117354
32	4	-0.0236834
32	5	-0.0107127
32	6	-0.00151619
32	7	0.00693516
2000 generations ont pris 705 secondes
